dist,zvel,PIDx,PIDz,xvel,pitch,theta
1.6200000048,-0.0675933585,0.4982271987,-0.138205391,0.3970218599,11.0572750509,0.5318403969
1.6200000048,-0.1256489158,0.5,-0.1371194288,0.4271686375,10.6562810075,0
1.5900000334,-0.1408077776,0.4948849417,-0.0996399691,0.4437199831,9.9549771064,1.5345174846
1.5900000334,-0.1495944262,0.5,-0.1029237791,0.4628291428,9.4621072397,0
1.5800000429,-0.1531300098,0.4983640055,-0.0903655177,0.4703433514,8.8829619526,0.4907983359
1.5800000429,-0.1299611479,0.5,-0.0914519825,0.4826477468,8.5245534828,0
1.5700000525,-0.1176139936,0.4984304091,-0.0789315526,0.4855383039,8.2217380488,0.4708772571
1.5700000525,-0.1004859805,0.5,-0.0800227464,0.4817894399,7.9860673843,0
1.5599999428,-0.1000306159,0.4984941601,-0.0675027587,0.4813475311,7.8492672681,0.4517519728
1.5599999428,-0.0937893465,0.5,-0.0685940393,0.4780764282,7.8137381928,0
1.5299999714,-0.0890138447,0.495651986,-0.0310742335,0.4769895971,7.8528776846,1.3044042077
1.5299999714,-0.0815605372,0.5,-0.0343530001,0.4751588702,7.9018260944,0
1.5099999905,-0.081520468,0.4972099668,-0.0092941202,0.4742488265,7.9859964638,0.8370099637
1.5099999905,-0.0601483956,0.5,-0.0114742552,0.4751629233,8.0462061004,0
1.5199999809,-0.0500309169,0.4986514554,-0.0239342604,0.4751828909,8.0900723246,0.4045633709
1.5199999809,-0.043338649,0.5,-0.0228355136,0.4754683375,8.1203700966,0
1.5,-0.0222355835,0.497387273,0.002145556,0.4772841632,8.1333904888,0.7838180891
1.5,-0.0232367851,0.5,-4.43051985037857E-05,0.4776265919,8.1890564808,0
1.5,-0.0299816485,0.5,-5.53814981297322E-06,0.4772388637,8.2542603602,0
1.5,-0.0284049697,0.5,-6.92268726621652E-07,0.4783188105,8.3596311737,0
1.5,-0.020527184,0.5,-8.65335908277065E-08,0.4800927639,8.3798255671,0
1.4900000095,-0.0126996608,0.4987841731,0.0124999773,0.4816549718,8.3942789056,0.3647480691
1.4900000095,-0.0143054649,0.5,0.0114062378,0.4810521305,8.3956711483,0
1.4900000095,-0.0179305989,0.5,0.0114257702,0.4831660688,8.4169275259,0
1.4900000095,-0.016665725,0.5,0.0114282117,0.4855246544,8.4382087347,0
1.4800000191,-0.0065334085,0.4988553315,0.023928505,0.4889957011,8.4244347587,0.3434005596
1.4800000191,-0.0068890625,0.5,0.0228347942,0.4914597869,8.3849689471,0
1.4800000191,-0.0030774616,0.5,0.0228543302,0.4940639138,8.3137481678,0
1.4800000191,0.0003402172,0.5,0.0228567722,0.4944574535,8.282007479,0
1.4500000477,0.0037368021,0.49672292,0.0603570417,0.4955534339,8.2605920547,0.9831239948
1.4500000477,0.0097324997,0.5,0.057075833,0.4944021702,8.2358062576,0
1.4500000477,0.0097538671,0.5,0.0571344314,0.4922668338,8.2178647535,0
1.4500000477,0.0155254034,0.5,0.0571417562,0.4932051599,8.1969464665,0
1.4500000477,0.0326898918,0.5,0.0571426718,0.4939706326,8.1586540172,0
1.4500000477,0.0456310138,0.5,0.0571427863,0.4913228154,8.1335062755,0
1.7699999809,-0.4840656519,0.4944861392,-0.3021708176,0.2151900828,0.3944698022,1.654158254
1.7699999809,-0.4521573782,0.5,-0.3087088341,0.1784628779,0.3676991125,0
1.7699999809,-0.3614524603,0.5,-0.3085885852,0.1023545116,0.7654367047,0
1.7000000477,-0.3364484608,0.4935900461,-0.2210736375,0.0764646307,1.2217140877,1.9229861632
1.7000000477,-0.2911955416,0.5,-0.2287280013,0.0250722729,1.8309344304,0
1.6599999666,-0.2854134738,0.4963303818,-0.1785909465,0.0045140623,3.3525626226,1.1008854646
1.6599999666,-0.2758547366,0.5,-0.1829488362,-0.006974007,4.4527579641,0
1.6399999857,-0.2214710414,0.498159739,-0.157868595,-0.0126429927,6.7090986098,0.5520782878
1.6399999857,-0.2114949226,0.5,-0.1600460598,-0.0092093814,7.9919682135,0
1.6399999857,-0.1738765687,0.5,-0.1600057432,0.0247772411,9.7654566197,0
1.6399999857,-0.1644241214,0.5,-0.1600007036,0.0480451994,11.8164927515,0
1.6699999571,-0.1649619639,0.4972405447,-0.1975000379,0.1088755503,12.9707882106,0.8278365759
1.6699999571,-0.1663740277,0.5,-0.1942187123,0.1450205147,14.2039588279,0
1.6799999475,-0.1763068885,0.4990871478,-0.2067772842,0.2254121304,14.6381998117,0.2738556735
1.6799999475,-0.1908988655,0.5,-0.2056908582,0.2596614063,14.6915408344,0
1.6599999666,-0.2137717605,0.498198887,-0.1807113287,0.3319350183,14.4571603247,0.5403339129
1.6599999666,-0.2243300676,0.5,-0.1829013824,0.3614698648,13.7415371703,0
1.6499999762,-0.2304285765,0.4991103237,-0.1703626513,0.3918499649,13.1489699773,0.2669028963
1.6499999762,-0.2217009515,0.5,-0.1714515574,0.4259411395,12.5986962118,0
1.5499999523,-0.2040015906,0.4912569295,-0.046431391,0.4448341727,11.8656019951,2.6229211375
1.5499999523,-0.1922297925,0.5,-0.0573663766,0.4582420886,10.9332357478,0
1.4900000095,-0.1818979681,0.2,0.0178291791,0.4668083787,10.3107710835,90
1.4900000095,-0.1557197571,0.5,0.0112911387,0.4685676694,9.9079593982,0
1.4900000095,-0.1066960692,0.5,0.0114113828,0.4718914628,9.5047112339,0
1.3999999762,-0.0313862935,0.2,0.123926455,0.4689376354,9.2059113039,90
1.3999999762,-0.0116618965,0.5,0.1140845802,0.4635927379,8.3366789218,0
1.3300000429,-0.0051182793,0.2,0.2017605129,0.4555801749,7.8371136624,90
1.3300000429,0.0132848155,0.5,0.1941262722,0.4324429035,7.1988868753,0
1.2799999714,0.0567243062,0.2,0.2567658305,0.4188431203,6.7041061976,90
1.2799999714,0.1283857822,0.5,0.2513145063,0.3857022524,6.1067598833,0
1.2599999905,0.1668850482,0.2,0.2764143181,0.3632411659,5.8246287512,90
1.2599999905,0.1973485649,0.5,0.2742392996,0.3396817148,5.680801922,0
1.2400000095,0.2298413962,0.2,0.2992798981,0.3169130087,5.5674335103,90
1.2400000095,0.26083529,0.5,0.297097478,0.280700624,5.6117056412,0
1.2000000477,0.265970856,0.2,0.3471371275,0.2616935968,5.8830868382,90
1.2000000477,0.2766599655,0.5,0.3427670939,0.2309862375,6.1815950237,0
1.2000000477,0.2819290161,0.5,0.342845839,0.2180958837,6.6712243226,0
1.2000000477,0.3047378063,0.5,0.3428556822,0.1995462775,7.0757827268,0
1.2200000286,0.3193989098,0.2,0.3178569364,0.193078503,7.5345985958,90
1.2200000286,0.3336577713,0.5,0.3200445881,0.1891518682,7.8152176017,0
1.2400000095,0.3373054266,0.2,0.2950055687,0.187483117,8.6048775455,90
1.2400000095,0.3148753047,0.5,0.2971881863,0.1878173053,9.2945124894,0
1.4600000381,0.2959502935,0.2,0.022148478,0.1916531026,9.9075279323,90
1.4600000381,0.2852576971,0.5,0.046206022,0.1966435015,10.0453892408,0
1.7899999619,0.2664195895,0.2,-0.36672419,0.213037163,9.9947825961,90
1.7899999619,0.2577337921,0.5,-0.3306842368,0.2207238823,9.7470165249,0
1.7699999809,-0.4000937641,0.2,-0.3032141027,0.1960795075,9.1684637095,90
1.7699999809,-0.4040721655,0.5,-0.3086829949,0.1966892183,8.5779370264,0
1.6900000572,-0.3824766278,0.2,-0.2085854507,0.1881445944,7.3815484539,90
1.6900000572,-0.3577709794,0.5,-0.2173232374,0.1779530793,6.6323804737,0
